sentence,race,educatn,employm,SES,married,num.chld,military,pr.arrst,pr.incrc,defense,vict.sex,vict.rac,vict.age,vict.rel,vict.st1,specialA,methodA,num.kill,num.prps,def.age,aggrevat,bloody,fam.lov,insane,mitcir,num.depr,rape
0,1,2,0,1,0,NA,NA,7,1,1,1,1,0,1,NA,1,24,1,2,3,0,1,0,0,0,1,0
0,1,1,0,1,0,2,1,2,2,0,0,1,0,0,0,0,1,1,1,3,0,0,0,0,1,0,0
0,1,2,1,1,1,3,NA,0,1,1,0,2,0,0,0,0,1,1,0,3,0,0,0,0,1,0,0
1,1,3,1,0,0,NA,NA,0,2,NA,0,1,0,0,1,0,1,1,0,3,0,0,0,0,1,0,0
0,0,3,1,0,1,2,1,4,2,0,0,1,0,0,NA,1,1,NA,2,5,0,0,0,0,1,0,0
0,1,1,NA,1,0,4,NA,0,2,NA,0,2,0,0,0,1,1,1,0,5,0,0,1,0,1,0,0
0,1,1,1,1,1,NA,NA,10,1,NA,0,2,NA,0,NA,1,1,1,0,4,0,0,0,0,1,0,0
0,1,3,1,1,0,2,1,0,2,0,1,1,0,1,0,1,10,1,0,3,1,0,1,0,1,1,0
0,1,1,0,1,0,0,NA,7,1,NA,1,2,0,0,0,1,15,1,0,4,1,0,0,0,0,0,0
1,0,3,0,0,0,NA,NA,15,1,NA,0,1,0,0,0,0,1,1,1,4,0,0,0,0,0,0,0
0,1,2,1,1,0,1,-1,3,2,NA,0,1,0,0,0,0,1,1,0,3,0,0,0,0,1,1,0
0,1,3,1,1,1,1,NA,2,2,NA,0,1,0,0,0,0,1,NA,3,3,0,0,0,0,1,0,0
1,1,3,0,0,0,NA,NA,1,2,NA,0,1,0,0,0,0,1,1,4,3,0,0,0,0,1,0,0
0,1,2,1,1,1,NA,NA,7,1,NA,0,1,0,0,0,0,1,1,1,4,0,0,0,0,1,0,0
0,0,3,NA,1,0,NA,1,7,2,NA,1,1,0,1,NA,1,22,1,0,5,0,0,1,0,1,0,0
0,1,3,1,1,0,3,1,0,2,NA,1,2,0,1,NA,1,1,1,0,5,0,0,1,0,1,1,0
1,1,2,1,1,0,NA,NA,1,1,NA,0,1,0,0,1,0,1,1,0,3,0,0,0,0,1,1,0
1,1,1,1,0,1,2,NA,5,1,NA,0,2,0,0,0,0,1,1,0,4,0,0,0,0,0,0,1
0,0,1,1,1,1,5,NA,6,1,NA,0,1,0,0,0,1,2,1,0,4,0,0,0,0,1,0,0
0,0,2,0,0,0,NA,NA,0,2,NA,0,1,0,0,0,0,1,1,0,2,0,0,0,0,1,0,0
0,0,1,0,0,0,NA,NA,0,2,1,0,2,0,1,NA,1,1,1,1,1,0,0,0,0,1,1,0
0,1,3,0,0,0,2,NA,11,1,1,1,2,0,1,NA,1,1,1,0,4,0,1,0,0,1,0,0
1,1,2,1,1,1,3,NA,1,2,NA,0,1,0,0,0,0,1,1,2,3,0,0,0,0,1,1,0
1,0,3,1,0,1,1,0,0,2,0,1,1,NA,1,NA,1,3,1,1,3,1,1,0,0,0,2,0
1,0,NA,NA,NA,NA,NA,NA,1,2,1,1,1,0,0,NA,1,1,1,1,1,0,0,0,0,1,1,1
0,0,2,1,1,1,3,1,4,2,0,1,1,0,1,0,1,8,1,0,4,0,0,1,0,1,2,0
0,1,1,0,1,0,NA,1,8,2,1,1,2,0,0,0,1,1,1,0,3,0,0,1,1,1,0,0
0,1,2,1,0,0,NA,NA,0,1,0,0,1,0,1,NA,1,2,1,0,5,0,1,1,0,1,1,0
1,1,3,0,0,0,NA,NA,1,2,0,0,1,1,0,0,1,1,NA,2,2,0,0,0,0,0,2,0
1,1,2,0,0,0,1,NA,7,1,1,0,1,1,0,0,1,1,1,2,3,0,0,0,0,0,2,0
0,0,1,0,1,0,1,NA,0,2,1,1,1,0,1,NA,1,8,1,0,2,0,0,1,0,1,1,0
0,1,2,0,1,0,NA,NA,7,2,0,0,2,0,1,0,1,1,1,0,4,0,0,1,0,1,0,0
0,1,3,0,1,1,NA,1,1,2,0,0,2,0,0,0,0,1,NA,3,3,0,1,0,0,0,0,0
1,1,1,0,0,1,NA,NA,3,1,1,1,1,0,0,0,1,3,2,1,5,1,1,0,0,0,5,1
0,0,3,0,0,1,4,NA,2,2,1,0,1,NA,1,0,1,18,1,0,4,0,0,0,0,0,0,0
0,0,3,0,1,0,NA,NA,0,2,0,0,1,NA,1,NA,1,2,1,1,2,0,0,1,0,1,0,0
0,0,1,1,0,0,2,NA,2,1,0,0,1,0,1,NA,1,2,1,1,4,0,0,1,0,1,0,0
0,0,1,1,0,1,1,NA,9,1,1,1,1,0,0,0,1,3,1,0,5,1,1,1,0,1,0,0
0,0,3,1,1,0,NA,NA,1,2,NA,0,1,0,0,NA,1,1,NA,1,2,0,0,0,0,1,0,0
0,1,1,0,1,0,NA,NA,9,1,1,0,1,0,0,NA,0,1,1,3,4,0,0,0,0,0,0,0
0,0,3,1,1,0,NA,1,0,2,0,0,1,0,0,0,0,1,NA,1,4,0,0,0,0,1,0,0
0,0,1,1,0,1,4,NA,1,2,0,0,1,0,1,0,0,3,NA,4,5,1,1,0,0,1,2,0
