caseid,weight_full,mode,voted2012,regist2016,primary2016,intend.vote,ideology,pid_strength,born_again,fundamentalist,race,female,income,hannity,minutes60,cooper,matthews,press,conan,big.bang,modern.family,rush,NPR,voted2016,vote.choice2016,Dem.Pres.candFT,GOP.Pres.candFT,Lib.Pres.candFT,Green.Pres.candFT,Dem.House.candFT,GOP.House.candFT,Ind.House.candFT,Dem.Sen.candFT,GOP.Sen.candFT,Ind.Sen.candFT,Sr.SenFT,Jr.SenFT,Nonrun.SenFT,Dem.VP.candFT,GOP.VP.candFT,RobertsFT,PopeFT,Christian.FundFT,FemFT,LiberalsFT,Labor.UnionsFT,PoorFT,Big.BusinessFT,ConservativesFT,SCtFT,GaysFT,CongressFT,RichFT,MuslimsFT,ChristiansFT,JewsFT,Tea.PartyFT,PoliceFT,TransFT,ScientistsFT,BLMFT,tax.mill,vaccinces.in.school,vaccines,Govt.Reduce.Eq,Req.Equal,how.equal,Foreign.Im,immig.support,Free.Trade.Ag,marijuana,AsiansFT,HispanicsFT,BlacksFT,IllegalsFT,WhitesFT,location,educ,GOP,Dem,employed,cath_attend,prot_attend,jew_attend,cath_nonatt,prot_nonatt,jew_nonatt,Obama12,Romney12,yes.vote2016,Trump16,Clinton16
300001,0.842,1,0,1,0,1,NA,7,1,0,1,0,3,0,1,0,0,0,0,1,0,NA,NA,4,2,15,85,50,40,NA,NA,NA,NA,NA,NA,NA,NA,NA,15,60,NA,60,70,50,50,50,70,70,70,70,15,70,50,15,100,50,50,70,50,70,15,1,1,2,-1,1,2,1,2,1,-1,30,30,60,0,60,LA,2,1,0,1,0,0,0,0,0,0,NA,NA,1,1,0
300002,1.0133,1,1,1,0,1,5,6,0,0,1,0,4,0,0,0,0,0,0,0,0,0,0,4,2,50,60,70,NA,NA,50,NA,50,50,NA,NA,NA,50,NA,60,50,50,50,50,50,50,50,40,60,50,50,50,50,50,50,50,50,40,50,70,50,1,1,1,1,1,1,NA,2,0,1,50,30,50,0,50,AR,4,1,0,1,0,0,0,0,0,0,1,0,1,1,0
300003,0.3672,1,0,0,0,NA,NA,3,0,0,1,0,1,0,0,0,0,0,0,0,0,NA,NA,NA,NA,50,70,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40,50,50,60,60,70,50,50,70,50,50,60,50,60,50,70,50,70,30,-1,1,1,-1,1,1,1,1,-1,1,50,15,30,15,60,MS,2,0,0,1,0,0,0,0,0,0,NA,NA,0,0,0
300004,0.3663,1,1,1,0,NA,NA,5,1,0,1,0,4,1,0,0,0,0,0,1,0,0,0,NA,NA,15,60,50,NA,NA,70,NA,NA,NA,NA,85,60,NA,30,60,40,50,60,50,50,40,50,40,50,50,50,50,50,50,85,50,50,70,50,50,50,-1,0,NA,1,1,2,1,2,0,-1,50,50,50,40,50,TN,2,0,0,1,0,1,0,0,0,0,0,1,0,0,0
300006,0.6463,1,1,1,0,1,4,3,0,0,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,0,0,4,4,30,15,40,70,50,50,NA,60,50,NA,NA,NA,50,50,40,50,100,85,70,70,85,85,50,70,70,85,50,70,85,85,85,50,85,85,85,15,1,0,NA,0,1,1,NA,4,0,-1,85,85,85,50,85,OH,2,0,0,1,0,0,0,0,0,0,1,0,1,0,0
300007,0.6881,1,1,1,0,NA,6,5,0,0,1,0,1,1,0,0,1,1,0,1,0,1,0,4,2,0,65,50,50,NA,NA,NA,NA,NA,NA,5,35,NA,30,80,50,85,50,50,15,2,50,70,50,30,50,0,50,50,50,50,75,85,50,50,0,0,1,2,-1,1,2,NA,3,1,-1,50,50,50,25,50,NJ,5,0,0,1,1,0,0,0,0,0,0,1,1,1,0
300008,4.6151,1,1,1,1,1,NA,1,0,0,2,0,5,0,1,1,1,1,0,0,1,0,0,4,1,85,50,NA,60,100,NA,NA,100,70,NA,NA,NA,NA,30,70,NA,100,70,50,85,70,100,50,85,85,85,60,50,100,100,85,40,85,85,100,100,0,1,2,1,1,1,NA,4,0,0,50,50,50,50,50,NY,1,0,1,1,0,0,0,0,0,0,1,0,1,0,1
300012,0.9426,1,1,1,1,1,5,4,0,0,1,1,6,1,1,0,0,0,0,1,0,1,0,4,2,15,85,15,50,50,50,NA,NA,NA,NA,40,40,NA,30,85,50,50,60,40,30,70,100,40,40,85,100,40,85,70,85,100,70,85,70,60,15,1,0,NA,-1,1,1,1,3,1,1,85,100,85,40,100,NJ,2,0,0,1,0,0,0,1,0,0,0,1,1,1,0
300018,1.0097,1,1,0,0,NA,4,5,0,0,6,0,3,0,0,0,0,0,0,1,0,0,0,NA,NA,0,70,50,50,NA,85,NA,NA,NA,NA,50,60,NA,15,60,50,50,15,50,15,30,50,60,60,50,50,30,30,30,60,50,50,100,30,70,15,1,1,2,0,1,2,NA,1,0,1,70,85,60,0,100,TX,2,0,0,1,0,0,0,0,0,0,0,1,0,0,0
300020,0.6005,1,0,1,0,NA,3,3,1,0,1,1,4,0,0,0,0,0,0,0,1,0,0,4,3,50,60,60,60,NA,60,NA,NA,NA,NA,50,NA,NA,50,50,NA,100,50,50,50,60,50,50,50,70,50,60,50,50,50,50,60,85,50,85,50,0,1,1,0,1,1,NA,3,0,0,50,50,50,50,50,MS,3,0,0,1,0,0,0,0,0,0,NA,NA,1,0,0
300021,0,1,0,1,0,1,NA,5,1,0,1,1,2,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,LA,1,0,0,1,0,0,0,0,0,0,NA,NA,0,0,0
300023,0,1,1,1,0,1,2,3,0,0,1,1,3,0,1,1,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NC,3,0,0,0,0,0,0,0,1,0,1,0,0,0,0
300026,0.8927,1,0,1,0,1,4,5,0,0,5,0,5,1,1,1,1,1,0,0,0,0,0,4,3,40,40,50,50,60,70,NA,50,70,NA,NA,NA,40,50,15,85,85,40,50,70,70,100,50,70,60,50,40,85,70,70,70,40,50,85,85,70,1,1,1,0,1,2,1,4,1,1,100,100,100,85,100,CT,4,0,0,1,0,0,0,0,1,0,NA,NA,1,0,0
300030,1.1928,1,1,1,1,1,NA,2,1,0,1,0,3,1,1,0,0,1,0,0,0,0,0,4,2,0,100,50,50,50,30,NA,30,60,NA,NA,NA,50,0,85,85,100,70,15,0,40,85,40,85,30,50,0,50,60,100,85,30,100,50,85,0,1,1,1,1,1,1,NA,2,1,1,60,60,85,15,85,OH,3,0,1,1,0,1,0,0,0,0,1,0,1,1,0
300034,0.3187,1,1,1,1,1,2,1,0,0,1,1,2,0,0,1,0,0,0,0,0,0,0,4,1,70,15,998,NA,NA,70,NA,NA,NA,NA,NA,NA,NA,70,40,40,85,15,85,85,85,85,50,40,40,85,30,60,70,85,70,15,70,60,70,85,1,1,1,1,1,1,-1,4,0,1,85,70,85,50,85,KS,5,0,1,1,0,1,0,0,0,0,1,0,1,0,1
300038,0.955,1,0,0,0,NA,NA,1,1,0,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,70,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50,15,50,50,60,50,50,50,60,50,60,50,85,70,50,60,15,70,50,1,1,1,1,1,1,NA,2,0,1,70,50,85,0,100,MA,2,0,1,0,0,0,0,0,1,0,NA,NA,0,0,0
300039,0.8146,1,1,1,1,1,2,1,0,0,5,0,5,NA,NA,NA,NA,NA,NA,NA,NA,0,1,4,1,85,15,40,70,85,NA,NA,NA,NA,NA,NA,NA,NA,85,30,60,85,15,70,85,70,70,60,30,70,85,40,60,60,60,85,15,70,70,100,85,1,1,1,1,1,1,-1,3,1,1,85,85,70,70,70,DC,5,0,1,1,0,0,0,1,0,0,1,0,1,0,1
300040,0.2579,1,1,1,0,1,6,7,0,0,1,0,3,0,1,1,0,0,0,0,0,0,0,4,2,40,100,85,70,NA,85,NA,NA,NA,NA,70,50,NA,NA,85,70,85,85,100,85,85,100,70,100,100,100,60,100,100,100,100,70,85,100,100,70,1,1,2,-1,1,1,-1,2,-1,1,70,70,70,15,70,NM,4,1,0,0,0,0,0,0,0,0,0,1,1,1,0
300041,1.6855,1,1,1,1,1,3,1,0,0,1,1,5,0,0,1,0,0,0,0,0,0,0,4,1,85,0,50,70,NA,70,NA,85,50,NA,NA,NA,NA,70,0,40,85,15,100,85,50,100,40,30,70,100,30,50,100,50,100,0,85,100,100,100,1,1,1,1,1,1,NA,4,1,1,100,100,100,85,85,NY,5,0,1,1,1,0,0,0,0,0,1,0,1,0,1
300042,1.4366,1,1,1,1,1,NA,6,0,0,1,1,5,0,0,0,0,0,0,0,0,NA,NA,4,NA,30,40,998,NA,60,100,NA,85,NA,NA,NA,NA,70,40,40,70,85,50,50,40,60,100,40,50,70,50,60,60,50,85,100,60,85,50,85,70,1,1,1,1,1,1,-1,3,0,-1,60,50,60,40,60,WA,3,1,0,0,1,0,0,0,0,0,1,0,1,0,0
300045,0.8633,1,1,1,1,NA,5,6,0,0,1,1,4,0,1,0,0,0,0,1,0,0,0,NA,NA,0,70,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,50,85,60,50,60,85,100,50,85,85,50,60,60,40,85,50,85,70,50,50,40,0,-1,2,0,1,2,1,2,0,1,85,60,70,40,85,LA,2,1,0,0,1,0,0,0,0,0,0,1,0,0,0
300046,0.5128,1,1,1,0,1,3,6,0,0,1,1,1,0,1,1,1,1,1,1,1,0,0,4,2,5,95,70,30,NA,80,NA,NA,85,NA,NA,NA,30,NA,75,70,NA,10,40,70,75,50,40,60,90,100,60,90,40,50,90,40,100,90,90,10,-1,1,1,1,1,1,NA,1,1,1,50,50,40,15,95,AZ,3,1,0,1,0,0,0,0,0,0,0,1,1,1,0
300047,2.7363,1,1,1,1,1,NA,5,0,0,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,1,60,0,50,NA,NA,50,NA,50,15,NA,NA,NA,60,15,50,NA,50,NA,50,60,50,85,15,40,50,70,40,15,50,100,70,50,100,70,85,85,1,1,2,0,1,1,NA,3,NA,0,60,40,60,15,85,PA,3,0,0,1,0,1,0,0,0,0,NA,NA,1,0,1
300049,0.5161,1,1,1,0,1,6,5,0,0,1,1,3,0,0,0,0,0,0,1,0,0,0,4,2,15,60,40,50,50,60,NA,50,60,NA,NA,NA,40,NA,70,50,60,70,40,40,40,60,60,70,60,40,40,70,60,85,85,40,85,30,60,40,1,1,1,1,1,1,NA,3,0,-1,85,85,70,40,85,KS,5,0,0,0,0,1,0,0,0,0,1,0,1,1,0
300050,1.1951,1,1,1,0,1,7,5,0,0,6,0,3,1,0,0,0,0,0,0,0,1,0,4,2,0,60,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,100,50,50,100,50,15,50,100,85,100,60,50,60,85,50,100,100,70,85,0,85,15,0,1,1,0,1,2,1,2,1,0,100,100,100,0,100,LA,1,0,0,1,0,0,0,0,0,0,0,1,1,1,0
300051,0.8568,1,0,0,0,NA,NA,5,0,0,4,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,85,50,NA,NA,NA,NA,NA,70,NA,NA,NA,NA,50,70,NA,NA,NA,50,50,70,100,60,NA,50,50,50,60,0,60,50,85,100,50,70,50,1,1,1,0,1,1,1,1,1,1,50,50,50,0,50,PA,1,0,0,1,0,0,0,0,1,0,NA,NA,0,0,0
300053,0.2219,1,0,0,0,NA,2,4,0,0,1,NA,NA,0,1,1,0,0,0,0,0,NA,NA,NA,NA,30,60,NA,NA,NA,NA,NA,30,60,NA,NA,NA,NA,60,85,50,70,60,60,70,50,70,60,40,50,85,40,70,85,85,85,NA,85,70,50,70,1,1,1,1,1,1,NA,2,-1,1,85,85,85,0,85,FL,4,0,0,1,1,0,0,0,0,0,NA,NA,0,0,0
300056,0.9554,1,0,1,0,1,NA,4,1,0,1,1,4,0,1,0,0,0,0,1,0,0,0,4,NA,15,70,50,50,NA,NA,NA,NA,NA,NA,NA,50,NA,50,60,NA,50,85,50,50,50,100,60,50,40,100,60,100,50,85,100,50,100,100,100,50,1,1,1,1,1,1,NA,4,0,1,50,50,50,0,50,TN,2,0,0,1,0,0,0,0,0,0,NA,NA,1,0,0
300058,0.9509,1,1,1,1,1,2,3,0,0,1,0,4,0,0,0,1,0,0,0,0,NA,NA,4,1,85,0,40,50,100,50,NA,NA,NA,NA,100,100,NA,85,30,30,60,30,100,100,85,100,70,0,60,100,15,50,85,60,100,0,85,85,100,85,1,1,1,1,1,1,-1,3,1,1,100,100,100,100,90,MA,5,0,0,0,0,0,0,1,0,0,1,0,1,0,1
300059,1.9268,1,1,1,0,NA,4,4,1,0,1,1,5,0,0,0,0,0,0,0,0,NA,NA,NA,NA,30,60,60,50,60,60,NA,NA,50,NA,NA,NA,60,NA,85,50,60,85,60,40,60,60,40,70,60,40,60,50,60,100,70,50,100,15,70,50,1,1,1,0,1,1,NA,2,0,0,60,60,60,40,60,KS,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0
300062,0.9365,1,1,1,0,1,2,2,1,0,1,1,5,0,0,0,0,0,0,0,0,0,0,3,NA,40,60,NA,NA,40,30,NA,50,60,NA,NA,NA,NA,NA,50,50,85,15,70,60,70,100,40,40,85,100,70,85,100,85,100,50,85,100,70,85,1,1,1,-1,1,1,1,3,0,0,50,50,50,30,50,AZ,5,0,1,1,0,1,0,0,0,0,1,0,0,0,0
300064,0,1,1,1,0,1,6,7,1,0,1,0,5,1,1,0,0,0,0,0,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,KS,4,1,0,1,0,1,0,0,0,0,0,1,0,0,0
300070,0.9898,1,1,1,1,1,6,7,1,0,1,1,NA,1,0,0,0,0,0,0,0,0,0,4,2,0,100,50,50,40,60,NA,NA,NA,NA,40,40,NA,15,85,50,50,85,60,60,50,85,85,85,70,70,70,85,70,70,85,70,100,50,50,50,0,1,2,0,1,1,NA,2,-1,-1,100,100,100,85,100,NM,3,1,0,0,0,1,0,0,0,0,0,1,1,1,0
300072,0.2235,1,1,1,1,1,7,5,0,0,1,0,4,1,0,0,0,0,0,1,0,NA,NA,4,2,0,100,15,15,30,NA,NA,0,15,NA,NA,NA,0,0,100,60,85,100,0,15,15,60,60,100,60,0,85,50,60,100,70,100,100,0,60,0,-1,-1,1,-1,1,1,1,1,0,0,60,60,60,60,60,IL,4,0,0,0,1,0,0,0,0,0,0,1,1,1,0
300073,0.4837,1,1,1,0,0,4,6,1,0,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,0,0,3,NA,60,15,NA,NA,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,85,40,50,40,100,50,60,50,50,50,50,100,100,50,50,40,50,50,50,1,0,NA,-1,1,1,NA,3,0,-1,100,100,100,100,100,MA,4,1,0,1,0,0,0,0,0,0,1,0,0,0,0
300082,0.6132,1,1,1,0,1,2,2,0,0,1,0,1,0,0,0,0,0,0,1,1,NA,NA,4,1,60,15,40,50,60,50,NA,NA,NA,NA,30,40,NA,50,15,70,85,15,50,50,50,50,40,50,60,50,15,60,60,50,60,0,70,50,70,40,1,1,2,-1,1,2,NA,4,1,1,50,60,50,30,60,TN,5,0,1,1,0,1,0,0,0,0,1,0,1,0,1
300085,0,1,0,0,0,1,NA,3,0,0,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CO,2,0,0,0,0,0,0,0,0,0,NA,NA,0,0,0
300092,0.5432,1,1,1,1,1,4,7,1,0,1,0,4,0,1,0,0,0,0,0,0,0,0,4,2,0,100,NA,30,40,60,NA,40,60,NA,NA,NA,60,40,100,40,40,60,40,50,30,40,50,40,40,0,40,60,0,60,60,50,30,0,30,0,1,1,1,1,1,2,1,2,-1,-1,40,60,60,0,60,KS,3,1,0,1,0,1,0,0,0,0,0,1,1,1,0
300093,0.9487,1,0,1,0,1,4,3,0,0,5,0,1,0,0,0,0,0,0,0,0,0,0,2,NA,70,85,50,50,50,50,NA,NA,NA,NA,70,50,NA,60,50,50,50,70,70,70,85,100,85,60,85,100,70,100,60,60,70,85,70,85,100,70,-1,1,1,-1,1,1,NA,2,1,-1,50,70,60,50,70,MA,1,0,0,0,0,0,0,0,0,0,NA,NA,0,0,0
300094,1.986,1,1,1,0,1,2,2,0,0,2,1,4,0,0,0,0,0,0,0,0,0,0,4,1,60,30,60,NA,85,NA,NA,70,NA,NA,NA,NA,NA,NA,0,30,70,70,100,85,100,70,40,40,50,100,40,50,100,100,100,60,30,100,60,100,0,1,3,1,1,1,NA,4,1,1,100,100,100,100,60,GA,3,0,1,1,0,0,0,0,0,0,1,0,1,0,1
300098,1.3109,1,1,1,1,NA,6,5,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,85,30,15,NA,70,NA,NA,85,NA,NA,NA,70,15,100,60,70,50,30,15,70,50,70,85,70,30,60,50,15,100,50,50,100,0,NA,0,1,1,1,-1,1,2,1,2,-1,-1,NA,NA,NA,NA,NA,AR,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0
300099,0.2155,1,1,1,1,1,5,7,0,0,1,1,2,0,0,0,0,0,0,0,0,0,0,4,2,15,60,50,50,NA,50,NA,60,70,NA,NA,NA,50,NA,60,60,70,50,40,30,60,50,40,60,60,50,60,50,50,85,50,60,85,50,60,40,-1,1,1,1,1,1,NA,3,0,0,70,70,70,60,70,WI,3,1,0,1,0,0,0,0,0,0,0,1,1,1,0
300100,0.7467,1,1,1,0,1,1,1,0,0,2,1,4,0,1,0,0,1,0,0,0,0,0,4,1,100,0,0,0,100,NA,NA,NA,NA,NA,NA,NA,NA,100,0,0,100,100,85,100,50,100,60,85,50,100,30,70,100,85,100,40,85,100,100,100,-1,1,1,-1,1,1,-1,1,0,-1,85,85,85,0,85,DC,4,0,1,0,0,0,0,0,0,0,1,0,1,0,1
300103,0.6856,1,1,1,1,1,6,7,0,0,1,0,3,1,1,1,1,0,0,0,0,NA,NA,4,2,0,100,0,50,50,85,NA,0,60,NA,NA,NA,0,0,100,85,100,100,50,0,85,85,100,100,50,50,100,85,0,100,100,0,100,50,100,0,1,1,1,1,1,1,1,1,-1,0,50,60,85,0,100,NY,3,1,0,1,1,0,0,0,0,0,0,1,1,1,0
300106,0.9194,1,1,1,0,1,4,5,0,0,1,1,3,0,0,0,0,0,0,1,0,0,0,4,2,0,60,50,50,NA,70,NA,60,5,NA,NA,NA,40,10,80,50,70,20,10,5,60,80,5,60,75,90,5,80,80,80,80,50,90,80,90,2,1,0,NA,-1,1,1,1,4,-1,1,80,80,80,15,80,KS,3,0,0,0,0,0,0,0,0,0,0,1,1,1,0
300107,1.2573,1,1,1,1,1,3,2,1,0,1,1,5,0,0,0,0,0,0,0,1,NA,NA,4,1,85,0,50,50,70,40,NA,85,50,NA,NA,NA,50,100,0,50,85,15,85,70,60,70,70,40,70,70,70,70,70,70,70,0,60,70,70,70,1,1,1,1,1,1,-1,4,1,1,70,70,70,60,70,IL,4,0,1,1,0,0,0,0,0,0,1,0,1,0,1
300109,0.2583,1,0,0,0,NA,6,4,0,0,5,1,3,0,0,0,0,0,0,1,0,0,0,NA,NA,30,15,50,50,50,50,NA,NA,NA,NA,50,60,NA,50,50,50,100,85,70,50,100,100,85,85,85,85,60,50,50,100,70,50,85,85,70,50,1,1,1,1,1,1,NA,2,0,0,85,100,50,100,85,TX,4,0,0,1,1,0,0,0,0,0,NA,NA,0,0,0
300111,0.5226,1,1,1,1,1,4,5,1,0,1,0,4,0,0,0,0,0,0,0,0,0,0,4,2,0,70,50,50,85,NA,NA,70,60,NA,NA,NA,50,40,85,60,50,30,40,40,85,85,30,40,60,30,15,50,50,100,50,70,100,40,70,15,1,1,2,1,1,1,NA,4,1,0,70,85,40,0,70,NC,3,0,0,1,0,1,0,0,0,0,1,0,1,1,0
300113,0.9977,1,1,1,0,1,2,1,0,0,6,0,5,0,1,1,0,0,0,0,0,0,0,3,NA,40,30,NA,NA,NA,NA,NA,NA,NA,NA,50,NA,NA,NA,NA,NA,85,15,50,70,70,60,15,30,60,NA,40,30,NA,30,50,30,30,50,70,50,1,NA,NA,1,1,2,NA,1,-1,1,5,60,60,50,50,TN,9,0,1,1,0,0,0,0,0,0,1,0,0,0,0
300116,0,1,1,1,1,NA,NA,2,0,0,2,0,1,0,0,0,0,1,1,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NC,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0
300119,0,1,0,0,0,NA,4,3,1,0,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,AR,3,0,0,1,0,1,0,0,0,0,NA,NA,0,0,0
300121,0.2869,1,1,1,1,1,2,1,0,0,1,1,5,0,1,0,0,0,0,0,0,0,0,4,1,75,35,NA,40,NA,65,NA,60,40,NA,NA,NA,40,70,45,60,100,60,50,75,75,50,60,50,60,50,40,50,40,60,50,60,85,50,80,30,1,1,1,1,1,1,1,2,0,1,50,40,50,30,50,GA,5,0,1,1,1,0,0,0,0,0,1,0,1,0,1
300123,0,1,1,1,1,1,5,6,1,0,1,0,3,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,OH,3,1,0,1,0,0,0,0,0,0,0,1,0,0,0
300124,0.4548,1,1,1,0,1,6,6,0,0,1,0,5,1,0,0,0,0,0,0,1,0,0,4,2,0,85,70,15,NA,60,NA,15,70,NA,NA,NA,30,NA,85,85,85,60,70,40,60,85,60,70,70,70,50,40,70,85,70,70,100,70,85,15,1,1,1,1,1,1,NA,3,1,0,70,70,70,15,70,WI,3,1,0,1,1,0,0,0,0,0,0,1,1,1,0
300131,0.6012,1,1,1,0,1,2,1,0,0,1,1,5,0,0,0,0,0,0,0,1,0,1,4,1,85,0,50,50,50,30,NA,NA,NA,NA,30,30,NA,NA,30,50,85,15,85,70,50,85,50,30,60,50,15,50,50,50,50,15,50,50,85,50,1,1,1,1,1,1,-1,4,1,1,50,50,50,50,50,TN,5,0,1,1,0,0,0,0,0,0,1,0,1,0,1
300135,1.5643,1,1,1,1,1,3,3,0,0,1,1,3,0,0,0,0,0,0,0,0,0,0,3,NA,60,40,50,50,NA,NA,NA,NA,NA,NA,50,50,NA,50,NA,NA,60,NA,60,70,50,85,50,70,0,100,50,85,70,70,70,50,85,100,70,40,1,1,1,1,1,1,NA,3,1,1,85,85,85,30,85,TN,3,0,0,1,0,0,0,0,0,0,1,0,0,0,0
300136,0.4461,1,0,0,0,NA,NA,5,0,0,5,1,1,NA,NA,NA,NA,NA,NA,NA,NA,0,0,4,1,85,60,30,70,50,15,30,NA,NA,NA,0,85,NA,85,60,100,15,85,100,60,0,0,70,15,60,40,100,100,50,85,30,85,40,50,15,50,NA,1,2,1,-1,2,NA,2,-1,-1,0,0,0,0,0,TX,1,0,0,1,1,0,0,0,0,0,NA,NA,1,0,1
300137,0.3382,1,0,1,1,1,4,1,0,0,5,0,1,0,0,0,0,0,0,0,0,NA,NA,4,1,85,0,50,50,50,50,NA,50,NA,NA,NA,NA,60,NA,0,50,100,NA,50,50,30,85,40,50,50,50,30,40,NA,40,NA,40,40,NA,70,NA,1,1,1,1,1,1,NA,4,1,1,50,85,50,60,50,CT,4,0,1,0,1,0,0,0,0,0,NA,NA,1,0,1
300140,0.5908,1,1,1,0,1,2,1,1,0,1,1,4,0,1,0,0,0,0,1,0,0,1,4,1,70,15,40,50,50,NA,NA,NA,NA,NA,70,NA,NA,70,50,50,70,70,85,70,70,85,40,60,50,50,50,50,70,70,50,30,85,70,70,70,1,1,2,1,1,1,NA,4,0,-1,85,85,85,70,85,MA,4,0,1,1,0,1,0,0,0,0,1,0,1,0,1
300142,1.0304,1,0,0,0,NA,NA,5,0,0,1,0,3,0,1,0,0,0,0,0,0,0,0,NA,NA,40,60,NA,NA,NA,NA,NA,60,NA,NA,NA,NA,60,NA,60,NA,60,50,50,50,30,60,50,60,20,50,20,50,20,50,50,NA,70,50,60,50,1,1,1,0,1,2,1,3,0,0,50,50,40,30,85,IL,2,0,0,0,0,0,0,0,0,0,NA,NA,0,0,0
300143,0.5262,1,1,1,1,1,2,1,1,0,2,0,NA,0,0,1,0,1,0,0,0,0,0,4,1,70,40,50,50,85,NA,NA,NA,NA,NA,50,40,NA,70,40,85,85,85,NA,85,85,100,70,70,70,85,50,70,85,100,85,40,85,85,85,85,1,0,NA,1,1,1,NA,3,1,0,100,100,100,85,100,TX,3,0,1,0,0,1,0,0,0,0,1,0,1,0,1
300144,1.2383,1,1,1,0,1,NA,1,1,0,2,1,2,0,1,1,0,1,0,1,0,0,0,4,1,100,50,50,50,NA,50,NA,NA,NA,NA,50,50,NA,50,50,50,50,50,50,50,85,85,85,50,70,50,85,70,50,100,70,50,85,50,70,75,0,1,1,1,1,1,1,2,-1,-1,50,50,70,50,70,MS,3,0,1,0,0,0,0,0,0,0,1,0,1,0,1
300146,0.5791,1,0,0,0,1,4,5,0,0,1,0,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,2,50,60,50,NA,50,50,NA,0,50,NA,NA,NA,50,NA,50,50,50,50,50,50,50,60,50,50,50,50,50,50,50,50,50,50,100,50,60,50,1,1,2,1,1,1,1,4,0,0,50,50,50,50,50,PA,4,0,0,1,0,0,0,1,0,0,NA,NA,1,1,0
300148,0.6689,1,1,NA,0,1,4,6,0,0,1,1,5,0,0,0,0,0,0,1,0,0,0,4,2,15,30,50,NA,NA,NA,NA,NA,NA,NA,50,NA,NA,50,85,NA,100,50,60,50,50,60,50,70,50,50,40,50,100,100,100,50,100,30,85,60,1,1,1,-1,1,1,NA,2,0,-1,70,85,85,60,85,NM,4,1,0,0,0,0,0,0,0,0,0,1,1,1,0
